Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	500	95	96	ARANAÐME 	0.2
2	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	0.3
3	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	0.4
4	9	Re5	D5	327	327	1	8	250	95	96	.	0.5
5	9	Mi5	E5	336	336	1	8	250	95	96	.	0.6
6	9	Sol5	G5	349	349	1	8	250	95	96	.	0.7
7	9	Fa5	F5	340	340	1	8	250	95	96	.	0.8
8	9	Mi5	E5	336	336	1	8	250	95	96	.	0.9
9	9	Re5	D5	327	327	1	8	250	95	96	.	1
10	9	Mi5	E5	336	336	1	8	250	95	96	.	1.1
11	9	Fa5	F5	340	340	1	8	250	95	96	.	1.2
12	9	Sol5	G5	349	349	1	8	250	95	96	.	1.3
13	9	La5	A5	358	358	1	8	250	95	96	.	1.4
14	9	Mi5	E5	336	336	1	8	250	95	96	.	1.5
15	9	Fa5	F5	340	340	1	8	250	95	96	.	1.6
16	9	Sol5	G5	349	349	1	8	250	95	96	.	1.7
17	9	La5	A5	358	358	3	8	750	95	96	.	2
18	9	Si5b5	B5b5	362	362	3	16	375	95	96	.	2.15
19	9	La5	A5	358	358	1	16	125	95	96	.	2.2
20	9	Sol5	G5	349	349	1	8	250	95	96	.	2.3
21	9	Si5b5	B5b5	362	362	1	4	500	95	96	.	2.5
22	9	La5	A5	358	358	1	8	250	95	96	.	2.6
23	9	Sol5	G5	349	349	1	8	250	95	96	.	2.7
24	9	Fa5	F5	340	340	1	8	250	95	96	.	2.8
25	9	Mi5	E5	336	336	1	8	250	95	96	.	2.9
26	9	Re5	D5	327	327	1	8	250	95	96	.	3
27	9	La4	A4	305	305	1	8	250	95	96	.	3.1
28	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	3.2
29	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	3.3
30	9	Fa5	F5	340	340	1	8	250	95	96	.	3.4
31	9	Mi5	E5	336	336	1	8	250	95	96	.	3.5
32	9	Re5	D5	327	327	1	8	250	95	96	.	3.6
33	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	3.7
34	9	Re5	D5	327	327	3	8	750	95	96	.	4
35	9	Do5	C5	318	318	1	4	500	95	96	.	4.2
36	9	Do5	C5	318	318	1	8	250	95	96	.	4.3
37	9	Re5	D5	327	327	1	4	500	95	96	.	4.5
38	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	4.6
39	9	La4	A4	305	305	1	8	250	95	96	.	4.7
40	9	Sol4	G4	296	296	3	8	750	95	96	.	5
41	9	Re5	D5	327	327	1	8	250	95	96	.	5.1
42	9	Do5	C5	318	318	1	8	250	95	96	.	5.2
43	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	5.3
44	9	La4	A4	305	305	1	8	250	95	96	.	5.4
45	9	Sol4	G4	296	296	1	8	250	95	96	.	5.5
46	9	Fa4	F4	287	287	1	8	250	95	96	.	5.6
47	9	Mi4	E4	283	283	1	8	250	95	96	.	5.7
48	9	Fa4	F4	287	287	3	8	750	95	96	.	6
49	9	Re4	D4	274	274	1	8	250	95	96	.	6.1
50	9	Mi4	E4	283	283	1	8	250	95	96	.	6.2
51	9	Fa4	F4	287	287	1	8	250	95	96	.	6.3
52	9	Sol4	G4	296	296	1	8	250	95	96	.	6.4
53	9	La4	A4	305	305	1	8	250	95	96	.	6.5
54	9	Sol4	G4	296	296	1	8	250	95	96	.	6.6
55	9	La4	A4	305	305	1	8	250	95	96	.	6.7
56	9	Fa4	F4	287	287	1	8	250	95	96	.	6.8
57	9	Mi4	E4	283	283	1	8	250	95	96	.	6.9
58	9	Re4	D4	274	274	1	8	250	95	96	.	7
59	9	Mi4	E4	283	283	1	8	250	95	96	.	7.1
60	9	Sol4	G4	296	296	1	8	250	95	96	.	7.2
61	9	Fa4	F4	287	287	1	8	250	95	96	.	7.3
62	9	Mi4	E4	283	283	1	8	250	95	96	.	7.4
63	9	Re4	D4	274	274	1	8	250	95	96	.	7.5
64	9	Do4#4	C4#4	269	269	1	8	250	95	96	.	7.6
65	9	Mi4	E4	283	283	1	8	250	95	96	.	7.7
66	9	Re4	D4	274	274	1	4	500	95	96	.	7.9
67	9			-1	-1	1	8	250	100	0		8
68	52			0	0	1	8	0	127	113		8.1
69	9	La4	A4	305	305	1	4	500	95	96	ARANAÐME 	8.3
70	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	8.4
71	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	8.5
72	9	Re5	D5	327	327	1	8	250	95	96	.	8.6
73	9	Mi5	E5	336	336	1	8	250	95	96	.	8.7
74	9	Sol5	G5	349	349	1	8	250	95	96	.	8.8
75	9	Fa5	F5	340	340	1	8	250	95	96	.	8.9
76	9	Mi5	E5	336	336	1	8	250	95	96	.	9
77	9	Re5	D5	327	327	1	8	250	95	96	.	9.1
78	9	Mi5	E5	336	336	1	8	250	95	96	.	9.2
79	9	Fa5	F5	340	340	1	8	250	95	96	.	9.3
80	9	Sol5	G5	349	349	1	8	250	95	96	.	9.4
81	9	La5	A5	358	358	1	8	250	95	96	.	9.5
82	9	Mi5	E5	336	336	1	8	250	95	96	.	9.6
83	9	Fa5	F5	340	340	1	8	250	95	96	.	9.7
84	9	Sol5	G5	349	349	1	8	250	95	96	.	9.8
85	9	La5	A5	358	358	3	8	750	95	96	.	10.1
86	9	Si5b5	B5b5	362	362	3	16	375	95	96	.	10.25
87	9	La5	A5	358	358	1	16	125	95	96	.	10.3
88	9	Sol5	G5	349	349	1	8	250	95	96	.	10.4
89	9	Si5b5	B5b5	362	362	1	4	500	95	96	.	10.6
90	9	La5	A5	358	358	1	8	250	95	96	.	10.7
91	9	Sol5	G5	349	349	1	8	250	95	96	.	10.8
92	9	Fa5	F5	340	340	1	8	250	95	96	.	10.9
93	9	Mi5	E5	336	336	1	8	250	95	96	.	11
94	9	Re5	D5	327	327	1	8	250	95	96	.	11.1
95	9	La4	A4	305	305	1	8	250	95	96	.	11.2
96	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	11.3
97	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	11.4
98	9	Fa5	F5	340	340	1	8	250	95	96	.	11.5
