Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	385	100	0		0.125
2	9	Sol5	G5	349	349	1	16	192	95	96	Ka	0.1875
3	9	Sol5	G5	349	349	1	16	192	95	96	ra	0.25
4	9	Sol5	G5	349	349	1	8	385	95	96	dýr 	0.375
5	9	Sol5	G5	349	349	1	8	385	95	96	kaþ	0.5
6	9	Fa5#3	F5#4	343	344	1	16	192	99	96	la	0.5625
7	9	Sol5	G5	349	349	1	16	192	99	96		0.625
8	9	Fa5#3	F5#4	343	344	1	16	192	99	96		0.6875
9	9	Sol5	G5	349	349	1	16	192	95	96		0.75
10	9	La5	A5	358	358	1	16	192	99	96	rýn 	0.8125
11	9	Sol5	G5	349	349	1	16	192	99	96		0.875
12	9	La5	A5	358	358	1	8	385	95	96		1
13	9	Sol5	G5	349	349	1	8	385	95	96	fer	1.125
14	9	Sol5	G5	349	349	1	16	192	99	96	man 	1.1875
15	9	La5	A5	358	358	1	16	192	99	96		1.25
16	9	Fa5#3	F5#4	343	344	1	8	385	95	96		1.375
17	9	Fa5#3	F5#4	343	344	1	16	192	99	96	yaz	1.4375
18	9	Sol5	G5	349	349	1	16	192	95	96		1.5
19	9	Mi5	E5	336	336	3	16	577	99	96	dý	1.6875
20	9	Fa5#3	F5#4	343	344	1	16	192	95	96		1.75
21	9	Sol5	G5	349	349	1	16	192	99	96	rýr  	1.8125
22	9	Fa5#3	F5#4	343	344	1	16	192	99	96		1.875
23	9	Sol5	G5	349	349	1	8	385	95	96		2
24	9	Fa5#3	F5#4	343	344	1	8	385	95	96	Bu 	2.125
25	9	Fa5#3	F5#4	343	344	1	16	192	99	96	aþk 	2.1875
26	9	Sol5	G5	349	349	1	16	192	95	96		2.25
27	9	Mi5	E5	336	336	1	8	385	95	96	be	2.375
28	9	Mi5	E5	336	336	1	8	385	95	96	ni 	2.5
29	9	Re5	D5	327	327	1	4	769	95	96	di	2.75
30	9	Mi5	E5	336	336	1	8	385	99	96	yar 	2.875
31	9	Fa5#3	F5#4	343	344	1	8	385	95	96		3
32	9	Sol5	G5	349	349	1	16	192	95	96	di	3.0625
33	9	Fa5#3	F5#4	343	344	1	16	192	99	96	yar 	3.125
34	9	Sol5	G5	349	349	1	16	192	99	96		3.1875
35	9	Mi5	E5	336	336	1	16	192	95	96		3.25
36	9	Mi5	E5	336	336	1	8	385	95	96	gez	3.375
37	9	Mi5	E5	336	336	1	16	192	99	96	di	3.4375
38	9	Re5	D5	327	327	1	16	192	95	96		3.5
39	9	Re5	D5	327	327	3	8	1154	95	96	rir  	3.875
40	9			-1	-1	1	8	385	100	0		4
41	9			-1	-1	1	8	385	100	0		4.125
42	9	Do5	C5	318	318	1	16	192	95	96	Lok	4.1875
43	9	Re5	D5	327	327	1	16	192	95	96	man 	4.25
44	9	Mi5	E5	336	336	1	16	192	95	96	he	4.3125
45	9	Mi5	E5	336	336	3	16	577	95	96	kim 	4.5
46	9	Re5	D5	327	327	3	16	577	99	96	gel	4.6875
47	9	Do5	C5	318	318	1	16	192	95	96		4.75
48	9	Mi5	E5	336	336	1	4	769	95	96	se 	5
49	9	Re5	D5	327	327	1	8	385	95	96	ya	5.125
50	9	Re5	D5	327	327	1	16	192	99	96	ram_	5.1875
51	9	Mi5	E5	336	336	1	16	192	95	96		5.25
52	9	Do5	C5	318	318	3	16	577	99	96	az	5.4375
53	9	Re5	D5	327	327	1	16	192	95	96		5.5
54	9	Si4b2	B4b1	312	313	3	16	577	99	96	dý	5.6875
55	9	Do5	C5	318	318	1	16	192	95	96		5.75
56	9	Re5	D5	327	327	1	16	192	99	96	rýr  	5.8125
57	9	Do5	C5	318	318	1	16	192	99	96		5.875
58	9	Re5	D5	327	327	1	8	385	95	96		6
59	9			-1	-1	1	8	385	100	0		6.125
60	9	Do5	C5	318	318	1	16	192	95	96	Ya	6.1875
61	9	Do5	C5	318	318	1	16	192	95	96	ra	6.25
62	9	Do5	C5	318	318	1	8	385	95	96	mý 	6.375
63	9	Do5	C5	318	318	1	16	192	99	96	sar	6.4375
64	9	Si4b2	B4b1	312	313	1	16	192	95	96		6.5
65	9	La4	A4	305	305	1	4	769	95	96	ma	6.75
66	9	Do5	C5	318	318	1	16	192	99	96	ya 	6.8125
67	9	Si4b2	B4b1	312	313	1	16	192	99	96		6.875
68	9	Do5	C5	318	318	1	8	385	95	96		7
69	9	Si4b2	B4b1	312	313	1	8	385	95	96	yar 	7.125
70	9	Si4b2	B4b1	312	313	1	16	192	99	96	ken	7.1875
71	9	Do5	C5	318	318	1	16	192	95	96		7.25
72	9	Si4b2	B4b1	312	313	1	16	192	95	96	di 	7.3125
73	9	La4	A4	305	305	3	16	577	95	96	gel	7.5
74	9	La4	A4	305	305	1	2	1538	95	96	sin  	8
75	52			0	0	1	4	0	78	0		8.25
76	9			-1	-1	1	8	385	100	0		8.375
77	9	Do5	C5	318	318	1	16	192	95	96	Lok	8.4375
78	9	Re5	D5	327	327	1	16	192	95	96	man 	8.5
79	9	Mi5	E5	336	336	1	16	192	95	96	he	8.5625
80	9	Mi5	E5	336	336	3	16	577	95	96	kim 	8.75
81	9	Re5	D5	327	327	3	16	577	99	96	gel	8.9375
82	9	Do5	C5	318	318	1	16	192	95	96		9
83	9	Mi5	E5	336	336	1	4	769	95	96	se 	9.25
84	9	Re5	D5	327	327	1	8	385	95	96	ya	9.375
85	9	Re5	D5	327	327	1	16	192	99	96	ram_	9.4375
86	9	Mi5	E5	336	336	1	16	192	95	96		9.5
87	9	Do5	C5	318	318	3	16	577	99	96	az	9.6875
88	9	Re5	D5	327	327	1	16	192	95	96		9.75
89	9	Si4b2	B4b1	312	313	3	16	577	99	96	dý	9.9375
90	9	Do5	C5	318	318	1	16	192	95	96		10
91	9	Re5	D5	327	327	1	16	192	99	96	rýr  	10.0625
92	9	Do5	C5	318	318	1	16	192	99	96		10.125
93	9	Re5	D5	327	327	1	8	385	95	96		10.25
94	9			-1	-1	1	8	385	100	0		10.375
95	9	Do5	C5	318	318	1	16	192	95	96	Ya	10.4375
