Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	833	95	96	ARANAÐME	0.6666667
2	9	Sol4	G4	296	296	1	8	417	95	96	.	1
3	9	La4	A4	305	305	1	4	833	95	96	.	1.666667
4	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	2
5	9	Do5	C5	318	318	1	16	208	95	96	.	2.166667
6	9	Re5b3	D5b4	324	323	1	16	208	95	96	.	2.333333
7	9	Do5	C5	318	318	1	8	417	95	96	.	2.666667
8	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	3
9	9	Do5	C5	318	318	1	8	417	95	96	.	3.333333
10	9	Re5b3	D5b4	324	323	1	8	417	95	96	.	3.666667
11	9	Mi5	E5	336	336	1	8	417	95	96	.	4
12	9	Do5	C5	318	318	1	4	833	95	96	.	4.666667
13	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	5
14	9	La4	A4	305	305	1	4	833	95	96	.	5.666667
15	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	6
16	9	Do5	C5	318	318	3	8	1250	100	96	.	7
17	9	Do5	C5	318	318	2	8	833	95	96	.	7.666667
18	9			-1	-1	1	8	417	100	0		8
19	9	La4	A4	305	305	1	4	833	95	96	.	8.666667
20	9	Sol4	G4	296	296	1	8	417	95	96	.	9
21	9	La4	A4	305	305	1	4	833	95	96	.	9.666667
22	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	10
23	9	Do5	C5	318	318	1	16	208	95	96	.	10.16667
24	9	Re5b3	D5b4	324	323	1	16	208	95	96	.	10.33333
25	9	Do5	C5	318	318	1	8	417	95	96	.	10.66667
26	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	11
27	9	Do5	C5	318	318	1	8	417	95	96	.	11.33333
28	9	Re5b3	D5b4	324	323	1	8	417	95	96	.	11.66667
29	9	Mi5	E5	336	336	1	8	417	95	96	.	12
30	9	Do5	C5	318	318	1	4	833	95	96	.	12.66667
31	9	La4	A4	305	305	1	8	417	95	96	.	13
32	9	Si4b2	B4b1	312	313	1	4	833	95	96	.	13.66667
33	9	Sol4	G4	296	296	1	8	417	95	96	.	14
34	9	La4	A4	305	305	3	8	1250	100	96	.	15
35	9	La4	A4	305	305	2	8	833	95	96	.	15.66667
36	9			-1	-1	1	8	417	95	96	.	16
37	9	La4	A4	305	305	1	4	833	99	96	Gel	16.66667
38	9	Sol4	G4	296	296	1	8	417	95	96		17
39	9	La4	A4	305	305	1	4	833	95	96	miþ 	17.66667
40	9	Si4b2	B4b1	312	313	1	8	417	95	96	de	18
41	9	Do5	C5	318	318	1	16	208	99	96	ðil 	18.16667
42	9	Re5b3	D5b4	324	323	1	16	208	99	96		18.33333
43	9	Do5	C5	318	318	1	8	417	99	96		18.66667
44	9	Si4b2	B4b1	312	313	1	8	417	99	96		19
45	9	Do5	C5	318	318	1	8	417	99	96		19.33333
46	9	Re5b3	D5b4	324	323	1	8	417	99	96		19.66667
47	9	Mi5	E5	336	336	1	8	417	95	96		20
48	12	Fa5	F5	340	340	1	8	417	99	96	böy	20.33333
49	9	Mi5	E5	336	336	1	8	417	99	96		20.66667
50	9	Re5b3	D5b4	324	323	1	8	417	95	96		21
51	9	Re5b3	D5b4	324	323	1	8	417	99	96	le 	21.33333
52	9	Do5	C5	318	318	1	8	417	95	96		21.66667
53	9	Si4b2	B4b1	312	313	1	8	417	95	96	pe	22
54	9	Do5	C5	318	318	1	16	208	99	96	ri  	22.16667
55	9	Re5b3	D5b4	324	323	1	16	208	99	96		22.33333
56	9	Do5	C5	318	318	1	8	417	99	96		22.66667
57	9	Si4b2	B4b1	312	313	1	8	417	99	96		23
58	9	Re5b1	D5b1	326	326	1	4	833	95	96		23.66667
59	9			-1	-1	1	8	417	100	0		24
60	9	La4	A4	305	305	1	4	833	99	96	Hiç 	24.66667
61	9	Sol4	G4	296	296	1	8	417	95	96		25
62	9	La4	A4	305	305	1	4	833	95	96	gör	25.66667
63	9	Si4b2	B4b1	312	313	1	8	417	95	96	me	26
64	9	Do5	C5	318	318	1	16	208	99	96	dim 	26.16667
65	9	Re5b3	D5b4	324	323	1	16	208	99	96		26.33333
66	9	Do5	C5	318	318	1	8	417	99	96		26.66667
67	9	Si4b2	B4b1	312	313	1	8	417	99	96		27
68	9	Do5	C5	318	318	1	8	417	99	96		27.33333
69	9	Re5b3	D5b4	324	323	1	8	417	99	96		27.66667
70	9	Mi5	E5	336	336	1	8	417	95	96		28
71	9	Do5	C5	318	318	1	4	833	99	99	çok	28.66667
72	9	La4	A4	305	305	1	8	417	95	96		29
73	9	Si4b2	B4b1	312	313	1	4	833	95	96	tan 	29.66667
74	9	Sol4	G4	296	296	1	8	417	95	96	be	30
75	9	La4	A4	305	305	3	8	1250	100	96	ri  	31
76	9	La4	A4	305	305	2	8	833	95	96		31.66667
77	9			-1	-1	1	8	417	100	0		32
78	52			0	0	1	8	0	127	17		32.33333
79	9	La4	A4	305	305	1	4	833	99	96	Gel	33
80	9	Sol4	G4	296	296	1	8	417	95	96		33.33333
81	9	La4	A4	305	305	1	4	833	95	96	miþ 	34
82	9	Si4b2	B4b1	312	313	1	8	417	95	96	de	34.33333
83	9	Do5	C5	318	318	1	16	208	99	96	ðil 	34.5
84	9	Re5b3	D5b4	324	323	1	16	208	99	96		34.66667
85	9	Do5	C5	318	318	1	8	417	99	96		35
86	9	Si4b2	B4b1	312	313	1	8	417	99	96		35.33333
87	9	Do5	C5	318	318	1	8	417	99	96		35.66667
88	9	Re5b3	D5b4	324	323	1	8	417	99	96		36
89	9	Mi5	E5	336	336	1	8	417	95	96		36.33333
90	12	Fa5	F5	340	340	1	8	417	99	96	böy	36.66667
91	9	Mi5	E5	336	336	1	8	417	99	96		37
92	9	Re5b3	D5b4	324	323	1	8	417	95	96		37.33333
93	9	Re5b3	D5b4	324	323	1	8	417	99	96	le 	37.66667
