Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME 	0.25
2	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.375
3	9	Do5	C5	318	318	1	16	208	95	96	.	0.5
4	9	Re5	D5	327	327	1	8	417	95	96	.	0.75
5	9	Re5	D5	327	327	1	8	417	95	96	.	1
6	9	Sol5	G5	349	349	1	8	417	95	96	.	1.25
7	9	Sol5	G5	349	349	1	16	208	95	96	.	1.375
8	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	1.5
9	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	1.625
10	9	Re5	D5	327	327	1	16	208	95	96	.	1.75
11	9	Do5	C5	318	318	1	8	417	95	96	.	2
12	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	2.25
13	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	2.375
14	9	Sol4	G4	296	296	1	16	208	95	96	.	2.5
15	9	La4	A4	305	305	1	8	417	95	96	.	2.75
16	9	La4	A4	305	305	1	8	417	95	96	.	3
17	9			-1	-1	1	8	417	100	0	.	3.25
18	9	Fa5	F5	340	340	1	16	208	95	96	.	3.375
19	9	Sol5	G5	349	349	1	16	208	95	96	.	3.5
20	9	La5	A5	358	358	1	8	417	95	96	.	3.75
21	9	La5	A5	358	358	1	8	417	95	96	.	4
22	10	La5	A5	358	358	1	8	417	95	96	.	4.25
23	8	Do6	C6	371	371	0	0	0	95	96	.	4.25
24	9	Si5b2	B5b1	365	366	1	16	208	95	96	.	4.375
25	9	La5	A5	358	358	1	16	208	95	96	.	4.5
26	9	La5	A5	358	358	3	32	312	95	96	.	4.6875
27	9	Fa5	F5	340	340	1	32	104	95	96	.	4.75
28	9	Sol5	G5	349	349	1	16	208	95	96	.	4.875
29	9	Mi5	E5	336	336	1	16	208	95	96	.	5
30	9	Mi5	E5	336	336	1	8	417	95	96	.	5.25
31	9	Mi5	E5	336	336	1	16	208	95	96	.	5.375
32	9	Re5	D5	327	327	1	16	208	95	96	.	5.5
33	9	Mi5	E5	336	336	3	32	312	95	96	.	5.6875
34	9	Re5	D5	327	327	1	32	104	95	96	.	5.75
35	9	Do5	C5	318	318	1	32	104	95	96	.	5.8125
36	9	Si4b2	B4b1	312	313	1	32	104	95	96	.	5.875
37	9	Do5	C5	318	318	1	16	208	95	96	.	6
38	9	Do5	C5	318	318	1	8	417	95	96	.	6.25
39	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	6.375
40	9	Re5	D5	327	327	1	16	208	95	96	.	6.5
41	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	6.625
42	9	Do5	C5	318	318	1	16	208	95	96	.	6.75
43	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	7
44	9			-1	-1	1	8	417	100	0	.	7.25
45	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	7.375
46	9	Do5	C5	318	318	1	16	208	95	96	.	7.5
47	9	Do5	C5	318	318	1	16	208	95	96	.	7.625
48	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	7.75
49	9	Do5	C5	318	318	1	8	417	95	96	.	8
50	9	Do5	C5	318	318	1	8	417	95	96	.	8.25
51	9	Do5	C5	318	318	1	16	208	95	96	.	8.375
52	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	8.5
53	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	8.625
54	9	Re5	D5	327	327	1	16	208	95	96	.	8.75
55	9	Do5	C5	318	318	1	32	104	95	96	.	8.8125
56	9	Si4b2	B4b1	312	313	1	32	104	95	96	.	8.875
57	9	Do5	C5	318	318	1	16	208	95	96	.	9
58	9			-1	-1	1	8	417	100	0	.	9.25
59	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	9.375
60	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	9.5
61	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	9.75
62	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	9.875
63	9	Sol4	G4	296	296	1	16	208	95	96	.	10
64	9	La4	A4	305	305	3	16	625	95	96	.	10.375
65	9	La4	A4	305	305	1	16	208	95	96	.	10.5
66	9	La4	A4	305	305	1	16	208	95	96	.	10.625
67	9	Sol4	G4	296	296	1	16	208	95	96	.	10.75
68	9	La4	A4	305	305	1	16	208	95	96	.	10.875
69	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	11
70	9	La4	A4	305	305	3	16	625	95	96	.	11.375
71	9	La4	A4	305	305	1	16	208	95	96	.	11.5
72	9	La4	A4	305	305	1	16	208	95	96	.	11.625
73	9	Sol4	G4	296	296	1	16	208	95	96	.	11.75
74	9	La4	A4	305	305	1	16	208	95	96	.	11.875
75	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	12
76	9	La4	A4	305	305	3	16	625	95	96	.	12.375
77	9	La4	A4	305	305	1	16	208	95	96	.	12.5
78	9	La4	A4	305	305	1	16	208	95	96	.	12.625
79	9	Sol4	G4	296	296	1	16	208	95	96	.	12.75
80	9	La4	A4	305	305	1	8	417	95	96	.	13
81	52			0	0	1	4	0	72	0		13.5
82	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME 	13.75
83	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	13.875
