Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#3	F5#4	343	344	1	16	208	95	96	ARANAÐME 	0.125
2	9	Sol5	G5	349	349	1	8	417	95	96	.	0.375
3	9	Sol5	G5	349	349	1	16	208	95	96	.	0.5
4	9	Sol5	G5	349	349	1	8	417	95	96	.	0.75
5	9	La5	A5	358	358	1	8	417	95	96	.	1
6	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	1.25
7	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	1.75
8	9	Sol5	G5	349	349	1	8	417	95	96	.	2
9	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	2.25
10	8	Fa5#3	F5#4	343	344	0	0	0	95	96	.	2.25
11	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	2.375
12	9	Re5	D5	327	327	1	16	208	95	96	.	2.5
13	10	Fa5#3	F5#4	343	344	1	8	417	95	96	.	2.75
14	8	Sol5	G5	349	349	0	0	0	95	96	.	2.75
15	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	2.875
16	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	3
17	9	Re5	D5	327	327	1	8	417	95	96	.	3.25
18	8	Mi5b3	E5b4	333	332	0	0	0	95	96	.	3.25
19	9	Re5	D5	327	327	1	16	208	95	96	.	3.375
20	9	Do5	C5	318	318	1	16	208	95	96	.	3.5
21	9	Si4b1	B4b1	313	313	1	4	833	95	96	.	4
22	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	4.125
23	9	Do5	C5	318	318	1	8	417	95	96	.	4.375
24	9	Do5	C5	318	318	1	16	208	95	96	.	4.5
25	9	Do5	C5	318	318	1	8	417	95	96	.	4.75
26	8	Re5	D5	327	327	0	0	0	95	96	.	4.75
27	9	Do5	C5	318	318	1	16	208	95	96	.	4.875
28	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	5
29	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	5.125
30	9	La4#4	A4#4	309	309	1	16	208	95	96	.	5.25
31	9	La4#4	A4#4	309	309	1	16	208	95	96	.	5.375
32	9	Sol4	G4	296	296	1	16	208	95	96	.	5.5
33	9	Re5	D5	327	327	1	16	208	95	96	.	5.625
34	9	Do5	C5	318	318	1	16	208	95	96	.	5.75
35	9	Do5	C5	318	318	1	16	208	95	96	.	5.875
36	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	6
37	9	Si4b1	B4b1	313	313	3	32	312	95	96	.	6.1875
38	9	La4#4	A4#4	309	309	1	32	104	95	96	.	6.25
39	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	6.375
40	9	Do5	C5	318	318	1	16	208	95	96	.	6.5
41	9	Re5	D5	327	327	1	16	208	95	96	.	6.625
42	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	6.75
43	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	6.875
44	9	Sol5	G5	349	349	1	16	208	95	96	.	7
45	9	La5	A5	358	358	1	16	208	95	96	.	7.125
46	9	Sol5	G5	349	349	1	16	208	95	96	.	7.25
47	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	7.375
48	9	La5	A5	358	358	1	16	208	95	96	.	7.5
49	9	Sol5	G5	349	349	1	4	833	95	96	.	8
50	52			0	0	1	4	0	72	0		8.5
51	9	Fa5#3	F5#4	343	344	1	16	208	95	96	ARANAÐME 	8.625
52	9	Sol5	G5	349	349	1	8	417	95	96	.	8.875
53	9	Sol5	G5	349	349	1	16	208	95	96	.	9
54	9	Sol5	G5	349	349	1	8	417	95	96	.	9.25
55	9	La5	A5	358	358	1	8	417	95	96	.	9.5
56	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	9.75
57	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	10.25
58	9	Sol5	G5	349	349	1	8	417	95	96	.	10.5
59	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	10.75
60	8	Fa5#3	F5#4	343	344	0	0	0	95	96	.	10.75
61	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	10.875
62	9	Re5	D5	327	327	1	16	208	95	96	.	11
63	10	Fa5#3	F5#4	343	344	1	8	417	95	96	.	11.25
