Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	3	16	556	95	96	ARANAÐME 	0.1875
2	9	Fa5#3	F5#4	343	344	1	16	185	95	96	.	0.25
3	9	Sol5	G5	349	349	1	8	370	95	96	.	0.375
4	9	La5	A5	358	358	1	8	370	95	96	.	0.5
5	9	Fa5#3	F5#4	343	344	1	2	1481	95	96	.	1
6	9	Fa5#3	F5#4	343	344	3	16	556	95	96	.	1.1875
7	9	Mi5b1	E5b1	335	335	1	16	185	95	96	.	1.25
8	9	Fa5#3	F5#4	343	344	1	8	370	95	96	.	1.375
9	9	Sol5	G5	349	349	1	8	370	95	96	.	1.5
10	9	Mi5b1	E5b1	335	335	3	8	1111	95	96	.	1.875
11	9	Re5	D5	327	327	1	8	370	95	96	.	2
12	9			-1	-1	1	8	370	100	0	.	2.125
13	9	Sol5	G5	349	349	1	8	370	95	96	.	2.25
14	9	Fa5#3	F5#4	343	344	1	8	370	95	96	.	2.375
15	9	Mi5b1	E5b1	335	335	1	8	370	95	96	.	2.5
16	9	Re5	D5	327	327	3	16	556	95	96	.	2.6875
17	9	Do5	C5	318	318	1	16	185	95	96	.	2.75
18	9	Re5	D5	327	327	1	8	370	95	96	.	2.875
19	9	Mi5b1	E5b1	335	335	1	8	370	95	96	.	3
20	9	Re5	D5	327	327	3	16	556	95	96	.	3.1875
21	9	Do5	C5	318	318	1	16	185	95	96	.	3.25
22	9	Do5	C5	318	318	1	8	370	95	96	.	3.375
23	9	Do5	C5	318	318	1	16	185	95	96	.	3.4375
24	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	3.5
25	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	3.5625
26	9	Sol4	G4	296	296	1	16	185	95	96	.	3.625
27	9	La4	A4	305	305	1	16	185	95	96	.	3.6875
28	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	3.75
29	9	Do5	C5	318	318	1	16	185	95	96	.	3.8125
30	9	Re5	D5	327	327	1	16	185	95	96	.	3.875
31	9	Mi5b1	E5b1	335	335	1	16	185	95	96	.	3.9375
32	9	Fa5#3	F5#4	343	344	1	16	185	95	96	.	4
33	52			0	0	1	4	0	81	0		4.25
34	9	Sol5	G5	349	349	3	16	556	95	96	ARANAÐME 	4.4375
35	9	Fa5#3	F5#4	343	344	1	16	185	95	96	.	4.5
36	9	Sol5	G5	349	349	1	8	370	95	96	.	4.625
37	9	La5	A5	358	358	1	8	370	95	96	.	4.75
38	9	Fa5#3	F5#4	343	344	1	2	1481	95	96	.	5.25
39	9	Fa5#3	F5#4	343	344	3	16	556	95	96	.	5.4375
40	9	Mi5b1	E5b1	335	335	1	16	185	95	96	.	5.5
41	9	Fa5#3	F5#4	343	344	1	8	370	95	96	.	5.625
42	9	Sol5	G5	349	349	1	8	370	95	96	.	5.75
43	9	Mi5b1	E5b1	335	335	3	8	1111	95	96	.	6.125
44	9	Re5	D5	327	327	1	8	370	95	96	.	6.25
45	9			-1	-1	1	8	370	100	0	.	6.375
46	9	Sol5	G5	349	349	1	8	370	95	96	.	6.5
47	9	Fa5#3	F5#4	343	344	1	8	370	95	96	.	6.625
48	9	Mi5b1	E5b1	335	335	1	8	370	95	96	.	6.75
49	9	Re5	D5	327	327	3	16	556	95	96	.	6.9375
50	9	Do5	C5	318	318	1	16	185	95	96	.	7
51	9	Re5	D5	327	327	1	8	370	95	96	.	7.125
52	9	Mi5b1	E5b1	335	335	1	8	370	95	96	.	7.25
53	9	Re5	D5	327	327	3	16	556	95	96	.	7.4375
54	9	Do5	C5	318	318	1	16	185	95	96	.	7.5
55	9	Do5	C5	318	318	1	8	370	95	96	.	7.625
56	9	Do5	C5	318	318	1	16	185	95	96	.	7.6875
57	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	7.75
58	9	Si4b1	B4b1	313	313	1	4	741	95	96	.	8
59	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	8.0625
60	9	La4#4	A4#4	309	309	1	16	185	95	96	.	8.125
61	9	Si4b1	B4b1	313	313	1	16	185	95	96	.	8.1875
62	9	Do5	C5	318	318	1	16	185	95	96	.	8.25
63	9	Re5	D5	327	327	1	4	741	95	96		8.5
64	9	Re5	D5	327	327	1	8	370	95	96	Se	8.625
65	9	Sol5	G5	349	349	1	8	370	95	96	ni 	8.75
66	9	Fa5#3	F5#4	343	344	1	8	370	99	96	çýl	8.875
67	9	Mi5b3	E5b4	333	332	1	8	370	95	96		9
68	9	Re5	D5	327	327	1	8	370	99	96	gýn 	9.125
69	9	Do5	C5	318	318	1	8	370	99	96		9.25
70	9	Si4b1	B4b1	313	313	1	8	370	99	96		9.375
71	9	La4#4	A4#4	309	309	1	8	370	95	96		9.5
72	9	Si4b1	B4b1	313	313	1	8	370	95	96	gi	9.625
73	9	Do5	C5	318	318	1	8	370	95	96	bi 	9.75
74	9	Re5	D5	327	327	1	8	370	99	96	sev	9.875
75	8	Fa5#3	F5#4	343	344	0	0	0	99	96		9.875
76	9	Mi5b3	E5b4	333	332	1	16	185	99	96		9.9375
77	9	Re5	D5	327	327	1	16	185	95	96		10
78	9	Re5	D5	327	327	1	4	741	95	96	dim  	10.25
79	9			-1	-1	1	4	741	100	0		10.5
80	9	Re5	D5	327	327	1	8	370	95	96	Yo	10.625
81	9	Mi5b3	E5b4	333	332	1	8	370	95	96	lu	10.75
82	9	Fa5#3	F5#4	343	344	1	4	741	95	96	na 	11
83	9	Sol5	G5	349	349	1	8	370	99	96	öm	11.125
84	9	Fa5#3	F5#4	343	344	1	16	185	99	96		11.1875
85	9	Mi5b3	E5b4	333	332	1	16	185	95	96		11.25
86	9	Re5	D5	327	327	1	8	370	95	96	rü	11.375
87	9	Sol5	G5	349	349	1	8	370	99	96	mü 	11.5
88	9	Fa5#3	F5#4	343	344	1	8	370	99	96		11.625
89	9	Mi5b3	E5b4	333	332	1	8	370	95	96		11.75
90	9	Re5	D5	327	327	3	32	278	99	96	ver	11.84375
91	9	Do5	C5	318	318	1	32	93	99	96		11.875
92	9	Re5	D5	327	327	1	16	185	99	96		11.9375
93	9	Mi5b3	E5b4	333	332	1	16	185	95	96		12
94	9	Fa5#3	F5#4	343	344	1	4	741	95	96	dim  	12.25
95	9			-1	-1	1	4	741	100	0		12.5
96	9	La5	A5	358	358	1	8	370	95	96	Ha	12.625
97	9	Sol5	G5	349	349	1	8	370	95	96	ni 	12.75
98	9	Sol5	G5	349	349	1	4	741	95	96	ar	13
99	9	Fa5#3	F5#4	343	344	1	4	741	95	96	týk 	13.25
100	9			-1	-1	1	8	370	100	0		13.375
101	9	Sol5	G5	349	349	1	8	370	99	96	sen 	13.5
102	9	Fa5#3	F5#4	343	344	1	8	370	95	96		13.625
103	9	Mi5b3	E5b4	333	332	1	8	370	95	96	be	13.75
104	9	Re5	D5	327	327	1	8	370	99	96	nim	13.875
105	9	Mi5b3	E5b4	333	332	1	16	185	99	96		13.9375
106	9	Re5	D5	327	327	1	16	185	95	96		14
107	9	Do5	C5	318	318	1	16	185	99	96	din  	14.0625
