Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	417	100	0	.	0.125
2	9	La5	A5	358	358	1	4	833	95	96	ARANAÐME 	0.375
3	9	La5	A5	358	358	1	8	417	95	96	.	0.5
4	9	La5	A5	358	358	1	4	833	95	96	.	0.75
5	9	Si5b5	B5b5	362	362	1	4	833	95	96	.	1
6	9			-1	-1	1	8	417	100	0	.	1.125
7	9	Sol5	G5	349	349	1	4	833	95	96	.	1.375
8	9	Sol5	G5	349	349	1	8	417	95	96	.	1.5
9	9	Sol5	G5	349	349	1	4	833	95	96	.	1.75
10	9	La5	A5	358	358	1	4	833	95	96	.	2
11	9			-1	-1	1	8	417	100	0	.	2.125
12	9	Fa5	F5	340	340	1	4	833	95	96	.	2.375
13	9	Fa5	F5	340	340	1	8	417	95	96	.	2.5
14	9	Fa5	F5	340	340	1	2	1667	95	96	.	3
15	9			-1	-1	1	8	417	100	0	.	3.125
16	9	Fa5	F5	340	340	1	16	208	95	96	.	3.1875
17	9	Sol5	G5	349	349	1	16	208	95	96	.	3.25
18	9	Mi5	E5	336	336	1	16	208	95	96	.	3.3125
19	9	Fa5	F5	340	340	1	16	208	95	96	.	3.375
20	9	Re5	D5	327	327	1	16	208	95	96	.	3.4375
21	9	Mi5	E5	336	336	1	16	208	95	96	.	3.5
22	9	Do5	C5	318	318	1	16	208	95	96	.	3.5625
23	9	Re5	D5	327	327	1	16	208	95	96	.	3.625
24	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	3.6875
25	9	Do5	C5	318	318	1	16	208	95	96	.	3.75
26	9	La4	A4	305	305	1	16	208	95	96	.	3.8125
27	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	3.875
28	9	Sol4	G4	296	296	1	16	208	95	96	.	3.9375
29	9	La4	A4	305	305	1	16	208	95	96	.	4
30	9	Fa4	F4	287	287	1	1	3333	95	96	.	5
31	52			0	0	1	8	0	127	17		5.125
32	9			-1	-1	1	8	417	100	0	.	5.25
33	9	La5	A5	358	358	1	4	833	95	96	ARANAÐME 	5.5
34	9	La5	A5	358	358	1	8	417	95	96	.	5.625
35	9	La5	A5	358	358	1	4	833	95	96	.	5.875
36	9	Si5b5	B5b5	362	362	1	4	833	95	96	.	6.125
37	9			-1	-1	1	8	417	100	0	.	6.25
38	9	Sol5	G5	349	349	1	4	833	95	96	.	6.5
39	9	Sol5	G5	349	349	1	8	417	95	96	.	6.625
40	9	Sol5	G5	349	349	1	4	833	95	96	.	6.875
41	9	La5	A5	358	358	1	4	833	95	96	.	7.125
42	9			-1	-1	1	8	417	100	0	.	7.25
43	9	Fa5	F5	340	340	1	4	833	95	96	.	7.5
44	9	Fa5	F5	340	340	1	8	417	95	96	.	7.625
45	9	Fa5	F5	340	340	1	2	1667	95	96	.	8.125
46	9			-1	-1	1	8	417	100	0	.	8.25
47	9	Fa5	F5	340	340	1	16	208	95	96	.	8.3125
48	9	Sol5	G5	349	349	1	16	208	95	96	.	8.375
49	9	Mi5	E5	336	336	1	16	208	95	96	.	8.4375
50	9	Fa5	F5	340	340	1	16	208	95	96	.	8.5
51	9	Re5	D5	327	327	1	16	208	95	96	.	8.5625
52	9	Mi5	E5	336	336	1	16	208	95	96	.	8.625
53	9	Do5	C5	318	318	1	16	208	95	96	.	8.6875
54	9	Re5	D5	327	327	1	16	208	95	96	.	8.75
55	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	8.8125
56	9	Do5	C5	318	318	1	16	208	95	96	.	8.875
57	9	La4	A4	305	305	1	16	208	95	96	.	8.9375
58	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	9
59	9	Sol4	G4	296	296	1	16	208	95	96	.	9.0625
60	9	La4	A4	305	305	1	16	208	95	96	.	9.125
61	9	Fa4	F4	287	287	1	1	3333	95	96	.	10.125
62	9	Mi5	E5	336	336	1	8	417	95	96	Ba	10.25
63	9	Fa5	F5	340	340	3	8	1250	95	96	har	10.625
64	9	Fa5	F5	340	340	1	2	1667	95	96	la 	11.125
65	9	Si5b5	B5b5	362	362	1	12	278	95	96	ha	11.20833
66	9	La5	A5	358	358	1	12	278	99	96	zan 	11.29167
67	9	Do6	C6	371	371	1	12	278	99	96		11.375
68	9	La5	A5	358	358	1	12	278	99	96		11.45833
69	9	Sol5	G5	349	349	1	12	278	99	96		11.54167
70	9	Si5b5	B5b5	362	362	1	12	278	99	96		11.625
71	9	Sol5	G5	349	349	1	12	278	99	96		11.70833
72	9	Fa5	F5	340	340	1	12	278	99	96		11.79167
73	9	La5	A5	358	358	1	12	278	99	96		11.875
74	9	Fa5	F5	340	340	1	4	833	95	96		12.125
75	9	Re5	D5	327	327	1	8	417	99	96	bir	12.25
76	9	Re5	D5	327	327	1	16	208	99	96		12.3125
77	9	Do5	C5	318	318	1	16	208	95	96		12.375
78	9	Re5	D5	327	327	1	8	417	95	96	le	12.5
79	9	Mi5	E5	336	336	1	8	417	95	96	þe	12.625
80	9	Fa5	F5	340	340	1	2	1667	95	96	mez 	13.125
